tokens;labels
['Diga', 'cuanto', 'nos', 'van', 'a', 'costar', 'las', 'autovías', 'de', 'sus', 'amiguetes', '¿', '4500', 'millones', 'o', 'más', '?', '@EsperanzAguirre', '@PPopular'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@lhermoso_', '@sanchezcastejon', '#DobleMoral', 'Castilla', 'antes', 'que', 'Aragón', '.', '.', '.'];['O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@PSOE', '@sanchezcastejon', 'Me', 'hace', 'mucha', 'gracia', 'que', 'esa', 'afirmación', 'la', 'haga', 'el', 'PSOE'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Para', 'que', 'todo', 'el', 'mundo', 'lo', 'tengo', 'claro', '.', '.', '.', '.', '@CsAlzira_', 'https', ':', '/', '/', 't', '.', 'co', '/', 'kcDxbhu3Ha'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@Albert_Rivera', 'y', '@CiudadanosCs', 'saben', 'q', 'este', 'país', 'es', 'progresista', 'pero', 'q', 'se', 'arruga', 'y', 'vota', 'centro', '.', 'Discurso', 'moderado', 'y', 'electoralista', '.'];['B-Propio_partido', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@sanchezcastejon', 'Todos', 'los', 'castellanos', 'deberíamos', 'celebrar', '.', 'No', 'sólo', 'los', 'del', 'norte', '.', 'En', 'C', '-', 'LM', 'el', 'festivo', 'es', '1', 'tonta', 'fecha', 'admva', '.', '#Propuesta'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@SooZLetras', '@iunida', '@IUCM', 'No', 'conozco', 'los', 'detalles', ',', 'pero', 'los', 'valores', 'y', 'los', 'principios', 'me', 'importan', 'más', 'de', 'lo', 'que', 'me', 'preocupan', 'las', 'disensiones'];['O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@cesarpopmadrid', 'lo', 'comprendo', ',', 'pero', 'esos', 'valores', 'y', 'principios', 'están', 'mejor', 'representados', 'en', 'otras', 'candidaturas', 'de', '@iunida', 'y', 'no', 'en', 'la', 'de', '@IUCM', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O']
['Partido', 'podrido', ',', 'partido', 'prostituido', '=', '@PPopular', 'https', ':', '/', '/', 't', '.', 'co', '/', 'C9YbvGD4zh'];['O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@JDescane', '@quetemuevas', '@CiudadanosCs', '@emaspolet', 'Sencillo', ':', 'Langosta', ',', 'caviar', 'y', 'solomillo', 'más', 'barato', 'y', 'pan', ',', 'leche', ',', 'huevos', ',', 'patatas', '.', '.', '.', 'más', 'caro', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'O', 'O', 'O']
['@AntonioMaestre', 'si', 'lo', 'propusiese', '@ahorapodemos', 'o', '@iunida', 'sería', 'titular', 'de', 'portada', 'a', '5', 'columnas', '!', '@CiudadanosCs'];['O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@PPopular', 'pero', 'que', 'poca', 'vergüenza', 'teneis', 'degenerados'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O']
