text_tokens;tags;polarities
['Buen', 'servicio', ',', 'ambiente', 'Acogedor', 'y', 'tranquilo', ',', 'comida', 'bien', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0];[-1, 1, -1, 1, -1, -1, -1, -1, 1, -1, -1]
['La', 'atención', 'es', 'muy', 'buena', ',', 'los', 'camareros', 'estan', 'muy', 'pendientes', 'de', 'uno', 'todo', 'el', 'tiempo', '.'];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Y', 'la', 'comida', 'espectacular', ',', 'por', 'eso', 'lo', 'bueno', 'se', 'paga', '...'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Lo', 'unico', 'que', 'vi', 'flojo', 'es', 'que', 'pedi', 'un', 'poco', 'de', 'salsa', 'provenzal', 'y', 'nos', 'la', 'cobraron', ',', 'por', 'lo', 'demas', 'todo', 'bien', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Las', 'carnes', 'bien', ',', 'pero', 'como', 'muchas', 'otras', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, 2, -1, -1, -1, -1, -1, -1, -1]
['El', 'precio', ',', 'por', 'lo', 'que', 'es', 'la', 'comida', ',', 'para', 'mi', 'gusto', 'es', 'elevado', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]
['la', 'calidad', 'del', 'producto', ',', 'el', 'servicio', ',', 'el', 'entorno', 'todo', 'fue', 'excelente'];[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0];[-1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1]
['9reinas', 'ya', 'sido', 'una', 'de', 'las', 'mejores', 'experiencias', 'que', 'hemos', 'tenido', 'en', 'los', 'últimos', 'años', '.'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'es', 'muy', 'bueno', 'y', 'la', 'calidad', 'de', 'la', 'comida', 'al', 'mismo', 'nivel', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]
['Los', 'precios', 'adecuados', 'y', 'bien', 'puedes', 'hacer', 'un', 'mayor', 'o', 'menor', 'gasto', 'en', 'función', 'de', 'tu', 'bolsillo', 'por', 'que', 'la', 'carta', 'es', 'muy', 'amplia', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]
['Fabuloso', ',', 'muy', 'atentos', 'la', 'comida', 'excelente', 'y', 'un', 'ambiente', 'estupendo', '.'];[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0];[-1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]
['Vale', 'la', 'pena', 'ir', 'y', 'probar', 'sus', 'carnes', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, 1, -1]
['El', 'restaurante', 'es', 'precioso', ',', 'moderno', 'y', 'acogedor', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1]
['La', 'comida', 'está', 'deliciosa', 'y', 'es', 'de', 'calidad', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'muy', 'atento', '.'];[0, 1, 0, 0, 0];[-1, 1, -1, -1, -1]
['Hemos', 'ido', 'varias', 'veces', 'a', 'cenar', 'al', '9reinas', 'y', 'nunca', 'defrauda', '!'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]
['La', 'calidad', 'de', 'las', 'carnes', 'el', 'excelente', 'servicio', 'y', 'su', 'buena', 'bodega', 'lo', 'convierte', 'en', 'un', 'lugar', 'espectacular', '!!'];[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['restaurante', 'excelente', 'con', 'carne', 'de', 'alta', 'calidad', '.'];[1, 0, 0, 1, 0, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1]
