texto;aspecto;sentiment;review
Nos sentimos muy a gusto.;vacio;1;Nos sentimos muy a gusto.
Buen servicio, ambiente Acogedor  y tranquilo, comida bien.;servicio;1;Buen servicio, ambiente Acogedor y comida
Buen servicio, ambiente Acogedor  y tranquilo, comida bien.;ambiente;1;Buen servicio, ambiente Acogedor y tranquilo, comida
Buen servicio, ambiente Acogedor  y tranquilo, comida bien.;comida;1;Buen servicio, ambiente Acogedor y tranquilo, comida bien.
Muy recomendable;vacio;1;Muy recomendable
La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.;atencion;1;La atencion es muy buena, estan
La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.;camareros;1;muy buena, los camareros estan pendientes
Y la comida espectacular, por eso lo bueno se paga...;comida;1;Y la comida espectacular, por eso bueno se
Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.;salsa;0;un poco de salsa provenzal y nos
Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.;vacio;1;Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.
El precio, por lo que es la comida, para mi gusto es elevado.;comida;0;El precio, por lo que es la comida, para mi gusto
la calidad del producto, el servicio, el entorno todo fue excelente;producto;1;la calidad del producto, el servicio,
la calidad del producto, el servicio, el entorno todo fue excelente;servicio;1;la calidad del producto, el servicio, entorno todo
la calidad del producto, el servicio, el entorno todo fue excelente;entorno;1;calidad el servicio, entorno todo fue excelente
reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.;reinas;1;reinas ya sido una experiencias
El servicio es muy bueno y la calidad de la comida al mismo nivel.;servicio;1;El servicio es muy bueno calidad
El servicio es muy bueno y la calidad de la comida al mismo nivel.;comida;1;y la calidad de comida al mismo nivel.
Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.;vacio;1;Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.
Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.;carta;1;por que la carta es muy amplia.
Volveremos.;vacio;1;Volveremos.
Fabuloso, muy atentos la comida excelente y un ambiente estupendo.;comida;1;muy atentos la comida excelente y un ambiente estupendo.
Fabuloso, muy atentos la comida excelente y un ambiente estupendo.;ambiente;1;la comida excelente y un ambiente estupendo.
Fabuloso, muy atentos la comida excelente y un ambiente estupendo.;vacio;1;Fabuloso, muy atentos la comida excelente y un ambiente estupendo.
Fabuloso, muy atentos la comida excelente y un ambiente estupendo.;vacio;1;Fabuloso, muy atentos la comida excelente y un ambiente estupendo.
Mis amigos quedaron encantados y nosotros tambien.;vacio;1;Mis amigos quedaron encantados y nosotros tambien.
Vale la pena ir y probar sus carnes.;vacio;1;Vale la pena ir y probar sus carnes.
Vale la pena ir y probar sus carnes.;carnes;1;y probar sus carnes.
El restaurante es precioso, moderno y acogedor.;restaurante;1;El restaurante es precioso, moderno acogedor.
La comida está deliciosa y es de calidad.;comida;1;La comida está deliciosa y calidad.
El servicio muy atento.;servicio;1;El servicio muy atento.
Hemos ido varias veces a cenar al reinas y nunca defrauda!;reinas;1;a cenar al reinas y nunca defrauda!
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!;carnes;1;La calidad de las carnes el excelente servicio
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!;servicio;1;La calidad carnes el excelente servicio y su buena
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!;bodega;1;calidad y su buena bodega lo convierte en lugar
Sin duda repetiremos.;vacio;1;Sin duda repetiremos.
restaurante excelente con carne de alta calidad.;restaurante;1;restaurante excelente con carne
restaurante excelente con carne de alta calidad.;carne;1;restaurante excelente con carne de alta calidad.
Nos encanto!;vacio;1;Nos encanto!
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.";vacio;1;"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto."
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.";servicio;1;"es que todo muy bien; el servicio, la comida y apariencia,"
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.";comida;1;todo el servicio, la comida y apariencia,
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.";apariencia;1;todo el servicio, la comida y apariencia, correcto.
Hemos ido a cenar y la verdad es que nos ha encantado.;vacio;1;Hemos ido a cenar y la verdad es que nos ha encantado.
el sitio es muy bonito la comida estupenda y el trato inmejorable.;sitio;1;el sitio es muy bonito comida
el sitio es muy bonito la comida estupenda y el trato inmejorable.;comida;1;el sitio es muy bonito la comida estupenda y trato
el sitio es muy bonito la comida estupenda y el trato inmejorable.;trato;1;el la comida estupenda y trato inmejorable.
totalmente recomendable;vacio;1;totalmente recomendable
Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.;vacio;1;Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.
Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.;servicio;1;el ambiente iluminado) y servicio.
Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.;tiempos;1;Ha sido todo excelente, la calidad, los tiempos, el ambiente
Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.;vacio;1;Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.
El dulce de leche es divino.;dulce;1;El dulce de leche es divino.
Primera visita a este Restaurante con resultado satisfactorio.;Restaurante;1;Primera visita a este Restaurante con resultado satisfactorio.
Calidad, profesionalidad y precio acorde con la oferta.;vacio;1;Calidad, profesionalidad y precio acorde con la oferta.
Calidad, profesionalidad y precio acorde con la oferta.;vacio;1;Calidad, profesionalidad y precio acorde con la oferta.
Calidad, profesionalidad y precio acorde con la oferta.;vacio;1;Calidad, profesionalidad y precio acorde con la oferta.
Casi como en Argentina.;vacio;1;Casi como en Argentina.
Fantastico!!!;vacio;1;Fantastico!!!
Delicioso!!!;vacio;1;Delicioso!!!
resaturante fantástico con excelente comida y servicio aun mejor!!!!;resaturante;1;resaturante fantástico con excelente comida
resaturante fantástico con excelente comida y servicio aun mejor!!!!;comida;1;resaturante fantástico con excelente comida y servicio aun
resaturante fantástico con excelente comida y servicio aun mejor!!!!;servicio;1;con excelente comida y servicio aun
tremenda amabilidad, es un gustazo!;amabilidad;1;tremenda amabilidad, es un gustazo!
tremenda amabilidad, es un gustazo!;vacio;1;tremenda amabilidad, es un gustazo!
Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.;Servicio;1;Servicio muy bueno, faltan platitos el pan, a de correcto.
Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.;platitos;0;Servicio muy bueno, faltan platitos para el pan, correcto.
Estaria bien musica argentina.;musica;0;Estaria bien musica argentina.
Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.;servicio;1;una con un cliente y tanto el servicio como la calidad
Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.;comida;1;Estuve ayer en una comida de negocio con cliente como la calidad fué excelente.
Enhorabuena!!;vacio;1;Enhorabuena!!
Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.;restaurant;1;Un buen restaurant, aunque algo caro
Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.;comida;0;para la cantidad de comida que se sirve
Muy bien los postres y el matambre.;postres;1;Muy bien los postres y el matambre.
Muy bien los postres y el matambre.;matambre;1;bien los postres y el matambre.
Se podria mejorar la iluminación en la planta superior, demasiada luz plana.;iluminación;0;podria mejorar la iluminación en planta
Recomendable 100%.;vacio;1;Recomendable 100%.
Un sitio precioso, con un ambiente exquisito.;sitio;1;Un sitio precioso, con un ambiente
Un sitio precioso, con un ambiente exquisito.;ambiente;1;Un sitio precioso, con un ambiente exquisito.
El servicio inmejorable y la comida excepcional!!;servicio;1;El servicio inmejorable y la comida
El servicio inmejorable y la comida excepcional!!;comida;1;El servicio inmejorable y la comida
Exquisitas las ensaladas y la carne.;ensaladas;1;Exquisitas las ensaladas y la carne.
Exquisitas las ensaladas y la carne.;carne;1;las ensaladas y la carne.
Abundante comida.;comida;1;Abundante comida.
Seguro que no te quedas con hambre y la claidad excelente.;vacio;1;Seguro que no te quedas con hambre y la claidad excelente.
La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.;carnes;1;La calidad de las carnes es insuperable y
La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.;servicio;1;destacar el excelente servicio recibido.
Si no has probado sus carnes te estas perdiendo algo muy grande!;carnes;1;Si no has probado sus carnes te estas perdiendo
Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.;comida;1;amigos y la comida estuvo riquísima las
Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.;trato;1;Estuve cenando amigos y riquísima el trato de las camareras
Repetiremos seguro!!;vacio;1;Repetiremos seguro!!
Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.;ellos;1;dejarse aconsejar por ellos a la hora
Me encanto!!!;vacio;1;Me encanto!!!
Sobran las palabras...volveré seguro!;vacio;1;Sobran las palabras...volveré seguro!
El restaurants comimos muy bien y ademas un servicio encantador y eficiente.;restaurants;1;El restaurants comimos muy bien servicio
El restaurants comimos muy bien y ademas un servicio encantador y eficiente.;servicio;1;restaurants comimos bien y ademas un servicio encantador eficiente.
En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.;carne;0;a preguntar si teníamos la boca era carne o un trozo
Decepcionante...;vacio;0;Decepcionante...
La calidad de la comida excelente, el servicio super amable y siempre atento.;comida;1;La calidad de la comida excelente, el servicio
La calidad de la comida excelente, el servicio super amable y siempre atento.;servicio;1;La calidad comida excelente, el servicio super amable y
El ambiente muy acogedor.;ambiente;1;El ambiente muy acogedor.
Una experiencia culinaria inolvidable.;experiencia;1;Una experiencia culinaria inolvidable.
Comida y Servicio estupendo;Comida;1;Comida y Servicio estupendo
Comida y Servicio estupendo;Servicio;1;Comida y Servicio estupendo
Todo muy bueno;vacio;1;Todo muy bueno
ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.;ambiente;1;ambiente íntimo y tranquilo, trato calidad
ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.;trato;1;ambiente íntimo y tranquilo, buen trato buena calidad
ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.;carnes;1;y buena calidad en las carnes.
Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.;carta;1;Excelente carta, carnes exquisitas, especialidades ambiente
Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.;carnes;1;Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente
Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.;especialidades;1;Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo
Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.;ambiente;1;Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio
Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.;servicio;1;ambiente íntimo y servicio atento.
Muy buena relación calidad.;vacio;1;Muy buena relación calidad.
Muy buena relación calidad.;vacio;1;Muy buena relación calidad.
Buen servicio, ambiente y excelente comida.;servicio;1;Buen servicio, ambiente y excelente comida.
Buen servicio, ambiente y excelente comida.;ambiente;1;Buen servicio, ambiente y excelente comida.
Buen servicio, ambiente y excelente comida.;comida;1;Buen servicio, ambiente y excelente comida.
La comida muy rica, pero el local extremadamente ruidoso (sobre todo el piso de arriba).;comida;1;La comida muy rica, pero local
Llegaba un momento en que apetecía irse por el ruido.;ruido;0;irse por el ruido.
Poca intimidad.;intimidad;0;Poca intimidad.
Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.;Local;1;Local casi perfecto, cocina extensa precio a lo
Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.;cocina;1;Local casi perfecto, cocina impecable, cantidad más extensa precio
Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.;carta;1;que abundante, extensa carta y vinos)
Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.;carta;1;que abundante, extensa carta y vinos)
Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.;vacio;1;Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.
Muy recomendable, por tanto.;vacio;1;Muy recomendable, por tanto.
Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.;jefe;1;que, a excepción del jefe de sala propietario, cosa que atento, resto pinganillos no está la altura resto, más
Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.;resto;0;que, a del jefe sala propietario, cosa que atento, y detallista, el resto servicio, pinganillos no está la altura resto, más
Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.;local;1;en lo complicado materia prima, imagen, sitio
Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.;materia;1;lo complicado materia prima, imagen, sitio
Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.;camareros;0;una que un par de camareros díscolos hagan
Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.;imagen;1;materia prima, imagen, sitio web) se
Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.;sitio;1;materia prima, imagen, sitio web) se pase
Fue una cena perfecta, por el lugar y sobre todo por la comida.;lugar;1;Fue una cena perfecta, por el lugar y sobre todo
Fue una cena perfecta, por el lugar y sobre todo por la comida.;comida;1;por y sobre todo la comida.
Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.;carta;1;Tienen una carta bastante extensa donde
Para los amantes de la carne no dudéis en pedir el Solomillo del Chef, exquisíto.;Solomillo;1;de la no en pedir el Solomillo del Chef, exquisíto.
<->Aunque los productos sean de calidad el precio es elevado;productos;1;los productos sean de calidad
<->Aunque los productos sean de calidad el precio es elevado;productos;0;los productos sean de calidad
