text_tokens;tags
['Diga', 'cuanto', 'nos', 'van', 'a', 'costar', 'las', 'autovías', 'de', 'sus', 'amiguetes', '¿', '1100', 'millones', 'o', 'más', '?', '@EsperanzAguirre', '@PPopular'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@lhermoso_', '@sanchezcastejon', '*DobleMoral', 'Castilla', 'antes', 'que', 'Aragón', '.', '.', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
['@PSOE', '@sanchezcastejon', 'Me', 'hace', 'mucha', 'gracia', 'que', 'esa', 'afirmación', 'la', 'haga', 'el', 'PSOE'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Para', 'que', 'todo', 'el', 'mundo', 'lo', 'tengo', 'claro', '.', '.', '.', '.', '@CsAlzira_', 'https', ':', '/', '/', 't', '.', 'co', '/', 'kcDxbhu1Ha'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Albert_Rivera', 'y', '@CiudadanosCs', 'saben', 'q', 'este', 'país', 'es', 'progresista', 'pero', 'q', 'se', 'arruga', 'y', 'vota', 'centro', '.', 'Discurso', 'moderado', 'y', 'electoralista', '.'];[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@sanchezcastejon', 'Todos', 'los', 'castellanos', 'deberíamos', 'celebrar', '.', 'No', 'sólo', 'los', 'del', 'norte', '.', 'En', 'C', '-', 'LM', 'el', 'festivo', 'es', '1', 'tonta', 'fecha', 'admva', '.', '*Propuesta'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@SooZLetras', '@iunida', '@IUCM', 'No', 'conozco', 'los', 'detalles', ',', 'pero', 'los', 'valores', 'y', 'los', 'principios', 'me', 'importan', 'más', 'de', 'lo', 'que', 'me', 'preocupan', 'las', 'disensiones'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@cesarpopmadrid', 'lo', 'comprendo', ',', 'pero', 'esos', 'valores', 'y', 'principios', 'están', 'mejor', 'representados', 'en', 'otras', 'candidaturas', 'de', '@iunida', 'y', 'no', 'en', 'la', 'de', '@IUCM', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
['Partido', 'podrido', ',', 'partido', 'prostituido', '=', '@PPopular', 'https', ':', '/', '/', 't', '.', 'co', '/', 'C9YbvGD1zh'];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@JDescane', '@quetemuevas', '@CiudadanosCs', '@emaspolet', 'Sencillo', ':', 'Langosta', ',', 'caviar', 'y', 'solomillo', 'más', 'barato', 'y', 'pan', ',', 'leche', ',', 'huevos', ',', 'patatas', '.', '.', '.', 'más', 'caro', '.'];[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]
